CustomerID,Gender,Age,Region,MembershipLevel,VisitCount,AveragePurchaseAmount,TotalPurchaseAmount,SatisfactionScore,LastPurchaseDate,CouponUsed,PreferredCategory,SignupDate,Email,PurchaseStatus
CUST101486,Female,40,,silver,5,75000.0,139800.0,3.7,2026-02-07,N,Beauty,2022-12-03,customer1486@example.com,0
CUST100113,Male,39, GYEONGGI ,Basic,7,74400.0,159200.0,4.8,2026-04-22,N,Home,2021-07-16,customer113@example.com,1
CUST100168,Male,105,Gwangju,Silver,12,185800.0,1055800.0,4.5,2026-06-06,N,Beauty,2022-02-15,customer168@example.com,1
CUST101212,Male,44,Daegu,VIP,7,153900.0,413200.0,4.5,2026-05-07,N,Home,2021-10-27,customer1212@example.com,1
CUST100312,Male,37,Gyeonggi,Basic,14,123700.0,576000.0,4.0,2026-04-16, n ,Home,2025-11-08,customer312@example.com,1
CUST101049,female,45,Gwangju,Silver,10,69300.0,123000.0,3.7,,Y,Fashion,2024-01-05,customer1049@example.com,0
CUST100600,Female,47,Daejeon,VIP,10,272600.0,1164900.0,2.6,2026-01-31,Y,Beauty,2025-01-28,customer600@example.com,1
CUST100050,Male,26,Busan,Silver,3,43900.0,40700.0,4.1,2026-01-21,Y,Home,2021-07-01,customer50@example.com,0
CUST101364,Male,56,Daejeon,Gold,7,210800.0,443500.0,5.0,2026-06-12,Y,Food,2024-05-03,customer1364@example.com,1
CUST100518,Male,42,Seoul,Basic,6,81700.0,70700.0,2.4,2026-03-19,N,Fashion,2023-10-13,customer518@example.com,0
CUST100037,Female,53, GYEONGGI ,Basic,10,153900.0,629800.0,4.4,2026-02-18,N,Electronics,2024-09-05,customer37@example.com,1
CUST101156,Male,23,Gyeonggi,Basic,12,67700.0,451500.0,4.2,2026-03-31,Y,Home,2022-06-12,customer1156@example.com,1
CUST101054,Male,34,Seoul,Gold,10,123400.0,378100.0,2.7,2026-05-04,N,beauty,2021-07-04,customer1054@example.com,1
CUST100375,Male,34,Daejeon,Basic,13,148300.0,609500.0,3.3,2026-04-24,Y,Fashion,2021-08-28,customer375@example.com,0
CUST100673,Male,39,Seoul,Gold,9,130800.0,269800.0,3.6,2026-01-26,N,Sports,2022-06-06,customer673@example.com,1
CUST100626,Male,46,Gyeonggi,Silver,13,135000.0,879100.0,4.4,2026-05-15,N,Food,2020-07-25,customer626@example.com,1
CUST100747,Male,52,Busan,Silver,6,103800.0,209600.0,2.2,2026-05-01,Y,Home,2025-03-03,customer747@example.com,0
CUST100629,Female,47,Seoul,Silver,6,95700.0,107500.0,5.0,2026-01-17,Y,Beauty,2021-04-16,customer629@example.com,0
CUST101271,Female,31,Seoul,Basic,13,51500.0,350700.0,4.0,2026-06-02,N,Fashion,2023-11-26,customer1271@example.com,0
CUST100741,Female,46,Gyeonggi,Basic,8,147500.0,534600.0,4.0,2026-06-15,Y,Beauty,2025-08-12,customer741@example.com,1
CUST100757,Male,37,Seoul,Basic,5,5000.0,10300.0,3.8,2026-06-29,N,Sports,2023-10-28,customer757@example.com,0
CUST100561,Male,44,Daegu,Silver,9,87400.0,194800.0,3.9,2026-05-17,N,Home,2021-06-28,customer561@example.com,0
CUST101393,Male,53,Seoul,Gold,10,,448300.0,3.5,2026-06-15,N,Beauty,2025-02-28,customer1393@example.com,1
CUST100140,Male,29,Busan,Silver,9,174700.0,378900.0,2.5,2026-02-03,Y,Electronics,2024-01-05,customer140@example.com,0
CUST100883,female,43,Gyeonggi,Basic,7,113600.0,360500.0,3.9,2026/01/15,Y,Sports,2022-02-13,customer883@example.com,0
CUST100658,Female,50,Seoul,Basic,4,53600.0,98500.0,3.8,2026-06-12,N,Food,2022-07-26,customer658@example.com,0
CUST100195,Female,18,Seoul,Basic,7,32000.0,114300.0,4.8,2026-06-12,No,Fashion,2025-11-17,customer195@example.com,0
CUST100201,Male,45,Gyeonggi,Gold,13,222500.0,998300.0,2.7,2026/04/02,N,Home,2024-08-08,customer201@example.com,1
CUST100803,Female,25,Seoul,Basic,10,114400.0,434400.0,3.4,2026/05/23,Y,Food,2020-08-18,customer803@example.com,1
CUST100148,Male,57,Incheon,Silver,9,99600.0,207200.0,2.9,2026-05-26,N,Food,2021-04-07,customer148@example.com,0
CUST101071,Female,56,Daejeon,Basic,10,87700.0,320000.0,2.4,2026-05-28,Y,Sports,2025-01-01,customer1071@example.com,0
CUST100419,Female,20,Seoul,Basic,6,102300.0,225100.0,2.2,2026-06-11,N,Fashion,2023-08-19,customer419@example.com,0
CUST100567,Other,54,Seoul,Basic,9,145500.0,469900.0,4.5,2026.05.07,N,Sports,2020-07-31,customer567@example.com,1
CUST100783,Male,22,Gyeonggi,Basic,4,49700.0,42300.0,2.2,2026-03-19,No,Fashion,2024-07-22,customer783@example.com,0
CUST101360,Male,42,Seoul,Gold,7,137900.0,143200.0,3.1,2026-04-29,Y,Food,2023-06-07,customer1360@example.com,0
CUST101252,Male,46,Busan,Basic,9,97500.0,498600.0,5.0,2025-12-07,Y,Beauty,2020-08-21,customer1252@example.com,0
CUST101204,Male,51,Seoul,Silver,7,140300.0,276100.0,2.6,2026-06-04,N,Home,2021-11-10,customer1204@example.com,0
CUST100911,Female,25,Seoul,Gold,12,145900.0,642700.0,3.4,2026-06-21,N,Beauty,2023-11-16,customer911@example.com,1
CUST100343,Female,42,Gyeonggi,Basic,5,23100.0,45100.0,4.1,2026-01-23,N,Fashion,2022-10-24,customer343@example.com,0
CUST100259,Male,26,Seoul,gold,12,112600.0,366200.0,4.1,2025-11-15,N,Food,2024-01-08,customer259@example.com,0
CUST100056,Female,21,Seoul,Basic,10,73400.0,166300.0,4.7,2026-04-13,N,Fashion,2023-01-17,customer56@example.com,0
CUST100405,Female,41,Daejeon,Silver,7,110900.0,197500.0,4.2,2026-04-25,N,Beauty,2025-09-27,customer405@example.com,1
CUST100053,Male,44,Busan,Basic,6,117900.0,209800.0,3.7,2026-05-31,No,Fashion,2020-08-20,customer53@example.com,1
CUST101233,Female,44,Gyeonggi,Gold,8,135800.0,237800.0,4.0,2026-05-25,Y,Fashion,2022-07-03,customer1233@example.com,1
CUST100522,Male,46,Gwangju,Basic,14,145600.0,660300.0,4.4,2026-02-07,Y,Fashion,2025-10-20,customer522@example.com,1
