CustomerID,Gender,Age,Region,MembershipLevel,VisitCount,AveragePurchaseAmount,TotalPurchaseAmount,SatisfactionScore,LastPurchaseDate,CouponUsed,PreferredCategory,SignupDate,Email,PurchaseStatus,AgeGroup,PurchaseGrade
CUST100113,Female,39.0,Gyeonggi,Basic,7.0,74400.0,159200.0,4.8,2026-04-22,N,home,2021-07-16,customer113@example.com,1,30대,Low
CUST100168,Female,69.5,Gwangju,Silver,12.0,185800.0,1055800.0,4.5,2026-06-06,N,beauty,2022-02-15,customer168@example.com,1,60대 이상,High
CUST101212,Female,44.0,Daegu,VIP,7.0,153900.0,413200.0,4.5,2026-05-07,N,home,2021-10-27,customer1212@example.com,1,40대,Medium
CUST100312,Female,37.0,Gyeonggi,Basic,14.0,123700.0,576000.0,4.0,2026-04-16,N,home,2025-11-08,customer312@example.com,1,30대,High
CUST100600,Female,47.0,Daejeon,VIP,10.0,254775.0,1075975.0,2.6,2026-01-31,Y,beauty,2025-01-28,customer600@example.com,1,40대,High
CUST100050,Female,26.0,Busan,Silver,3.0,43900.0,40700.0,4.1,2026-01-21,Y,home,2021-07-01,customer50@example.com,0,20대 이하,Low
CUST101364,Female,56.0,Daejeon,Gold,7.0,210800.0,443500.0,5.0,2026-06-12,Y,food,2024-05-03,customer1364@example.com,1,50대,Medium
CUST100518,Female,42.0,Seoul,Basic,6.0,81700.0,70700.0,2.4,2026-03-19,N,fashion,2023-10-13,customer518@example.com,0,40대,Low
CUST100037,Female,53.0,Gyeonggi,Basic,10.0,153900.0,629800.0,4.4,2026-02-18,N,electronics,2024-09-05,customer37@example.com,1,50대,High
CUST101156,Female,23.0,Gyeonggi,Basic,12.0,67700.0,451500.0,4.2,2026-03-31,Y,home,2022-06-12,customer1156@example.com,1,20대 이하,Medium
CUST101054,Female,34.0,Seoul,Gold,10.0,123400.0,378100.0,2.7,2026-05-04,N,beauty,2021-07-04,customer1054@example.com,1,30대,Medium
CUST100375,Female,34.0,Daejeon,Basic,13.0,148300.0,609500.0,3.3,2026-04-24,Y,fashion,2021-08-28,customer375@example.com,0,30대,High
CUST100673,Female,39.0,Seoul,Gold,9.0,130800.0,269800.0,3.6,2026-01-26,N,sports,2022-06-06,customer673@example.com,1,30대,Medium
CUST100626,Female,46.0,Gyeonggi,Silver,13.0,135000.0,879100.0,4.4,2026-05-15,N,food,2020-07-25,customer626@example.com,1,40대,High
CUST100747,Female,52.0,Busan,Silver,6.0,103800.0,209600.0,2.2,2026-05-01,Y,home,2025-03-03,customer747@example.com,0,50대,Medium
CUST100629,Female,47.0,Seoul,Silver,6.0,95700.0,107500.0,5.0,2026-01-17,Y,beauty,2021-04-16,customer629@example.com,0,40대,Low
CUST101271,Female,31.0,Seoul,Basic,13.0,51500.0,350700.0,4.0,2026-06-02,N,fashion,2023-11-26,customer1271@example.com,0,30대,Medium
CUST100741,Female,46.0,Gyeonggi,Basic,8.0,147500.0,534600.0,4.0,2026-06-15,Y,beauty,2025-08-12,customer741@example.com,1,40대,Medium
CUST100757,Female,37.0,Seoul,Basic,5.0,5000.0,10300.0,3.8,2026-06-29,N,sports,2023-10-28,customer757@example.com,0,30대,Low
CUST100561,Female,44.0,Daegu,Silver,9.0,87400.0,194800.0,3.9,2026-05-17,N,home,2021-06-28,customer561@example.com,0,40대,Medium
